id,user,uid,version,changeset,timestamp
19434573,DaveHansenTiger,7168,1,507621,2008-01-01T23:32:59Z
19434689,AndrewSnow,371121,3,65571969,2018-12-18T07:03:03Z
19434940,bot-mode,451693,2,14450516,2012-12-29T13:28:16Z
19435207,bot-mode,451693,2,15801112,2013-04-20T18:45:38Z
19435780,AndrewSnow,371121,3,65572270,2018-12-18T07:23:14Z
19436373,bot-mode,451693,2,15801112,2013-04-20T18:47:20Z
19436408,gcjunge,775666,2,13407057,2012-10-08T03:30:41Z
19438344,AndrewSnow,371121,3,65572270,2018-12-18T07:23:15Z
19439109,bot-mode,451693,2,15801112,2013-04-20T18:50:56Z
19439994,AndrewSnow,371121,5,65572270,2018-12-18T07:23:16Z
19440191,bot-mode,451693,3,14450516,2012-12-29T13:28:55Z
19440195,jayL76,1767140,4,25130153,2014-08-31T03:52:30Z
19440201,bot-mode,451693,3,14450516,2012-12-29T13:28:55Z
19440785,Benny Goodman,6943578,2,54035000,2017-11-23T20:09:28Z
19440902,krinkov76239,7409020,5,58147645,2018-04-16T19:08:30Z
19441107,Rub21,510836,2,18069209,2013-09-27T21:40:17Z
19441111,Benny Goodman,6943578,2,54035000,2017-11-23T20:09:28Z
19441246,accheela,10145800,2,73138468,2019-08-08T07:03:58Z
19441381,navlay,8476263,4,65961340,2019-01-02T15:10:15Z
19441402,AndrewSnow,371121,3,50873823,2017-08-06T02:10:38Z
19441652,NE2,207745,5,13105450,2012-09-14T10:21:26Z
19441728,markscalf,2772907,7,58074300,2018-04-13T19:39:38Z
19441904,ELadner,22925,2,34400043,2015-10-03T00:23:46Z
19442362,DaveHansenTiger,7168,1,507858,2008-01-02T01:07:31Z
19442366,RichRico,2219338,2,31923216,2015-06-12T14:53:51Z
19442453,DaveHansenTiger,7168,1,507858,2008-01-02T01:07:48Z
19442457,kurugunk,10145796,3,73614174,2019-08-22T09:47:56Z
19442501,Gedwards724,5453545,5,73804296,2019-08-27T15:24:50Z
19442524,Gedwards724,5453545,5,74750098,2019-09-21T13:53:02Z
19442635,krinkov76239,7409020,6,57983899,2018-04-10T19:52:00Z
19442829,StevenTN,1767688,2,19119353,2013-11-25T23:50:43Z
19443291,knikitha,10145801,4,73108813,2019-08-07T12:17:04Z
19443458,Gedwards724,5453545,5,63110807,2018-10-02T02:06:21Z
19443578,Benny Goodman,6943578,2,54035000,2017-11-23T20:09:28Z
19443582,Benny Goodman,6943578,2,54035000,2017-11-23T20:09:28Z
19443674,Gedwards724,5453545,10,74718632,2019-09-20T13:22:26Z
19443804,Benny Goodman,6943578,3,54035000,2017-11-23T20:09:29Z
19444295,Gedwards724,5453545,12,74936944,2019-09-26T04:58:14Z
19444543,fredjunod,84054,2,14352931,2012-12-21T10:03:07Z
19444856,Gedwards724,5453545,3,75184595,2019-10-02T10:48:42Z
19444911,veesams,10145795,9,73614434,2019-08-22T09:53:45Z
19444957,Gedwards724,5453545,4,65866874,2018-12-29T14:46:06Z
19445062,begumfai,10159513,8,73095215,2019-08-07T07:01:50Z
19445420,Benny Goodman,6943578,2,54035000,2017-11-23T20:09:29Z
19445610,DaveHansenTiger,7168,1,508039,2008-01-02T01:23:20Z
19445926,Benny Goodman,6943578,3,54035000,2017-11-23T20:09:29Z
19446196,Gedwards724,5453545,3,67322163,2019-02-18T16:31:02Z
19446423,ELadner,22925,2,34400043,2015-10-03T00:23:47Z
19446498,DaveHansenTiger,7168,1,508039,2008-01-02T01:27:59Z
19446610,Benny Goodman,6943578,3,54035000,2017-11-23T20:09:29Z
19446764,ELadner,22925,2,34400043,2015-10-03T00:23:46Z
19447017,Gedwards724,5453545,7,73821145,2019-08-28T04:52:29Z
19447073,Gedwards724,5453545,3,74985385,2019-09-27T01:17:45Z
19447307,ELadner,22925,2,34400043,2015-10-03T00:23:46Z
19447372,AndrewSnow,371121,4,50932747,2017-08-08T04:19:06Z
19447486,AndrewSnow,371121,2,30299955,2015-04-18T04:24:08Z
19447550,DaveHansenTiger,7168,1,508039,2008-01-02T01:34:50Z
19447677,ionutr_telenav,4930407,2,60064128,2018-06-22T06:24:27Z
19447792,ELadner,22925,4,34413563,2015-10-03T18:50:54Z
19447877,ediyes,1240849,3,31929059,2015-06-12T18:46:36Z
19447932,bot-mode,451693,2,14530833,2013-01-04T20:42:24Z
19447966,bot-mode,451693,2,14397193,2012-12-25T03:08:30Z
19448029,bot-mode,451693,3,14530833,2013-01-04T20:42:25Z
19448041,Rub21,510836,3,18068506,2013-09-27T20:54:06Z
19448193,bot-mode,451693,2,15801112,2013-04-20T18:58:10Z
19448274,Gedwards724,5453545,3,63529776,2018-10-15T07:47:18Z
19448408,Gedwards724,5453545,7,70458754,2019-05-20T23:36:46Z
19448423,bot-mode,451693,2,14397193,2012-12-25T03:08:34Z
19448427,arpremna,8446886,3,66113555,2019-01-08T00:50:40Z
19448429,Gedwards724,5453545,4,67993515,2019-03-10T16:21:13Z
19448432,arpremna,8446886,3,66113555,2019-01-08T00:50:40Z
19448542,Gedwards724,5453545,3,67075256,2019-02-10T15:52:44Z
19448600,bot-mode,451693,2,14397193,2012-12-25T03:08:35Z
19448612,Rub21,510836,3,18069209,2013-09-27T21:40:16Z
19448694,bot-mode,451693,2,14397193,2012-12-25T03:08:35Z
19448822,Gedwards724,5453545,6,73803378,2019-08-27T15:01:09Z
19448830,Gedwards724,5453545,4,75113619,2019-09-30T17:31:07Z
19448883,bot-mode,451693,2,14530833,2013-01-04T20:42:25Z
19448911,Gedwards724,5453545,7,75185915,2019-10-02T11:37:40Z
19448915,Gedwards724,5453545,5,73852229,2019-08-28T17:34:27Z
19449064,Rub21,510836,3,18069866,2013-09-27T22:38:47Z
19449186,bot-mode,451693,2,14397193,2012-12-25T03:08:38Z
19449217,Gedwards724,5453545,5,65134181,2018-12-03T18:05:55Z
19449280,patadivy,10145804,7,73145505,2019-08-08T09:44:59Z
19449300,Gedwards724,5453545,4,63528573,2018-10-15T07:01:49Z
19449306,bot-mode,451693,2,15801112,2013-04-20T19:00:04Z
19449370,Gedwards724,5453545,5,75180837,2019-10-02T08:13:01Z
19449410,Gedwards724,5453545,4,66988827,2019-02-07T09:46:06Z
19449423,Gedwards724,5453545,3,66284628,2019-01-13T21:14:43Z
19449436,bot-mode,451693,3,15801754,2013-04-20T19:00:22Z
19449448,StevenTN,1767688,3,18784597,2013-11-08T16:02:57Z
19449477,soundred,10116136,4,73071181,2019-08-06T14:47:33Z
19449548,bot-mode,451693,2,14530833,2013-01-04T20:42:26Z
19449557,Vkkalegi,8476268,4,61611827,2018-08-13T04:56:15Z
19449578,StevenTN,1767688,4,18776448,2013-11-08T04:38:54Z
19449580,StevenTN,1767688,3,18776448,2013-11-08T04:38:55Z
19449719,bot-mode,451693,2,14530833,2013-01-04T20:42:26Z
19449766,bot-mode,451693,2,14397193,2012-12-25T03:08:41Z
19449839,Gedwards724,5453545,5,68571424,2019-03-27T03:58:10Z
19449851,StevenTN,1767688,3,18776448,2013-11-08T04:38:56Z
19449888,DaveHansenTiger,7168,1,508180,2008-01-02T01:49:14Z
19450142,sivachak,10086301,12,73180441,2019-08-09T07:07:22Z
19450147,utkap,10192112,12,73146052,2019-08-08T09:56:50Z
19450224,Rub21,510836,3,18069743,2013-09-27T22:27:18Z
19450240,Gedwards724,5453545,4,75113619,2019-09-30T17:31:07Z
19450249,mitesl,10159519,13,73739772,2019-08-26T08:29:46Z
19450254,bot-mode,451693,2,14530833,2013-01-04T20:42:27Z
19450415,Gedwards724,5453545,5,68535937,2019-03-26T08:07:13Z
19450502,bot-mode,451693,2,14397193,2012-12-25T03:08:44Z
19450506,bot-mode,451693,2,14397193,2012-12-25T03:08:44Z
19450527,Gedwards724,5453545,5,73809367,2019-08-27T17:54:25Z
19450549,bot-mode,451693,2,15801754,2013-04-20T19:02:10Z
19450611,bot-mode,451693,2,14397193,2012-12-25T03:08:45Z
19450619,Rub21,510836,3,18069866,2013-09-27T22:38:47Z
19450659,StevenTN,1767688,3,18862805,2013-11-12T20:34:13Z
19450666,Gedwards724,5453545,4,75032591,2019-09-28T06:29:58Z
19450678,StevenTN,1767688,2,18862805,2013-11-12T20:34:13Z
19450724,fredjunod,84054,2,14388203,2012-12-24T10:16:51Z
19450759,bot-mode,451693,2,15801754,2013-04-20T19:02:26Z
19450770,bot-mode,451693,2,15801754,2013-04-20T19:02:26Z
19450790,ELadner,22925,3,34411601,2015-10-03T17:02:30Z
19450832,bot-mode,451693,2,14397193,2012-12-25T03:08:46Z
